month_date,inflation_yoy_pct,inflation_target_pct,key_rate_month_end
2025-12-01,5.59,4.0,16.0
2025-11-01,6.64,4.0,16.5
2025-10-01,7.71,4.0,16.5
2025-09-01,7.98,4.0,17.0
2025-08-01,8.14,4.0,18.0
2025-07-01,8.79,4.0,18.0
2025-06-01,9.4,4.0,20.0
2025-05-01,9.88,4.0,21.0
2025-04-01,10.23,4.0,21.0
2025-03-01,10.34,4.0,21.0
2025-02-01,10.06,4.0,21.0
2025-01-01,9.92,4.0,21.0
2024-12-01,9.52,4.0,21.0
2024-11-01,8.88,4.0,21.0
2024-10-01,8.54,4.0,21.0
2024-09-01,8.63,4.0,19.0
2024-08-01,9.05,4.0,18.0
2024-07-01,9.13,4.0,18.0
2024-06-01,8.59,4.0,16.0
2024-05-01,8.3,4.0,16.0
2024-04-01,7.84,4.0,16.0
2024-03-01,7.72,4.0,16.0
2024-02-01,7.69,4.0,16.0
2024-01-01,7.44,4.0,16.0
